[2017-09-09 13:51:01,688]DEBUG     0[main] - DevMgr.main(DevMgr.java:20) - hello world!!
[2017-09-09 13:51:18,484]DEBUG     0[main] - DevMgr.main(DevMgr.java:20) - hello world!!
[2017-09-09 13:51:28,914]DEBUG     0[main] - DevMgr.main(DevMgr.java:20) - hello world!!
[2017-09-09 13:53:41,241]DEBUG     0[main] - DevMgr.sendReqDiscoveryDevice(DevMgr.java:47) -  1 send request = {"work_code":"dis_dev","type":"req","dir":"d2c"}
[2017-09-09 13:53:41,244]DEBUG     3[main] - DevMgr.recvRespDiscoveryDevice(DevMgr.java:59) -  2 received response json = {"work_code":"dis_dev","type":"res","dir":"c2d","body":{"devices":[{"dev_name":"THU Light","spec_ver":"ocf.1.1.0","dev_type":["oic.wk.d","oic.d.light"],"host_addr":"coap://[fe80::c4a8:5af:7d0e:f40e%25wlan0]:49244","dev_id":"c31e8fa3-b524-0e6b-2489-77760c3ca37b"}],"status":200}}
[2017-09-09 13:53:41,250]DEBUG     9[main] - DevMgr.recvRespDiscoveryDevice(DevMgr.java:67) -  2 after import = {"work_code":"dis_dev","type":"res","dir":"c2d","body":{"devices":[{"dev_name":"THU Light","spec_ver":"ocf.1.1.0","resources":[],"dev_type":["oic.wk.d","oic.d.light"],"host_addr":"coap://[fe80::c4a8:5af:7d0e:f40e%25wlan0]:49244","dev_id":"c31e8fa3-b524-0e6b-2489-77760c3ca37b"}],"status":200}}
[2017-09-09 13:53:41,250]DEBUG     9[main] - DevMgr.sendReqDiscoveryResource(DevMgr.java:88) -  1 send request = {"work_code":"dis_dev","type":"req","dir":"d2c","body":{"dev_id":"6341cb6f-2179-55a3-3732-c3ffbad1be68"}}
[2017-09-09 13:53:41,250]DEBUG     9[main] - DevMgr.recvRespDiscoveryResource(DevMgr.java:100) -  2 received response json = {"work_code":"dis_res","type":"res","dir":"c2d","body":{"resources":[{"res_type":["oic.r.switch.binary"],"res_dev_id":"6341cb6f-2179-55a3-3732-c3ffbad1be68","res_isobserve":true,"res_id":"/oic/route/6341cb6f-2179-55a3-3732-c3ffbad1be68/power/0","res_uri":"/oic/route/6341cb6f-2179-55a3-3732-c3ffbad1be68/power/0"}],"status":200}}
[2017-09-09 13:53:41,251]DEBUG    10[main] - DevMgr.recvRespDiscoveryResource(DevMgr.java:106) -  2 after import = equal ? true ^O^)/
[2017-09-09 13:56:57,818]DEBUG     0[main] - DevMgr.sendReqDiscoveryDevice(DevMgr.java:47) -  1 send request = {"work_code":"dis_dev","type":"req","dir":"d2c"}
[2017-09-09 13:56:57,823]DEBUG     5[main] - DevMgr.recvRespDiscoveryDevice(DevMgr.java:59) -  2 received response json = {"work_code":"dis_dev","type":"res","dir":"c2d","body":{"devices":[{"dev_name":"THU Light","spec_ver":"ocf.1.1.0","dev_type":["oic.wk.d","oic.d.light"],"host_addr":"coap://[fe80::c4a8:5af:7d0e:f40e%25wlan0]:49244","dev_id":"c31e8fa3-b524-0e6b-2489-77760c3ca37b"}],"status":200}}
[2017-09-09 13:56:57,828]DEBUG    10[main] - DevMgr.recvRespDiscoveryDevice(DevMgr.java:65) -  2 after import = equal ? true ^O^)/
[2017-09-09 13:56:57,828]DEBUG    10[main] - DevMgr.sendReqDiscoveryResource(DevMgr.java:88) -  1 send request = {"work_code":"dis_dev","type":"req","dir":"d2c","body":{"dev_id":"6341cb6f-2179-55a3-3732-c3ffbad1be68"}}
[2017-09-09 13:56:57,828]DEBUG    10[main] - DevMgr.recvRespDiscoveryResource(DevMgr.java:100) -  2 received response json = {"work_code":"dis_res","type":"res","dir":"c2d","body":{"resources":[{"res_type":["oic.r.switch.binary"],"res_dev_id":"6341cb6f-2179-55a3-3732-c3ffbad1be68","res_isobserve":true,"res_id":"/oic/route/6341cb6f-2179-55a3-3732-c3ffbad1be68/power/0","res_uri":"/oic/route/6341cb6f-2179-55a3-3732-c3ffbad1be68/power/0"}],"status":200}}
[2017-09-09 13:56:57,829]DEBUG    11[main] - DevMgr.recvRespDiscoveryResource(DevMgr.java:106) -  2 after import = equal ? true ^O^)/
